,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
100,2024,Joel Embiid,C,29,PHI,79,79,33.9,11.4,21.4,.534,1.1,3.2,.338,10.3,18.1,.569,.560,10.3,11.5,.890,3.0,8.7,11.7,6.0,1.1,1.9,3.8,2.7,34.2,5,.720,1.5981308411214956,99.95
8,2024,Giannis Antetokounmpo,PF,29,MIL,81,81,34.6,11.8,18.8,.626,0.4,1.7,.225,11.4,17.2,.665,.636,7.7,11.4,.674,2.6,8.1,10.7,5.0,1.5,1.2,3.8,2.9,31.6,7,.720,1.6808510638297873,99.82
182,2024,Nikola Jokić,C,28,DEN,81,81,33.5,10.5,19.3,.541,1.2,3.7,.309,9.3,15.6,.596,.571,5.0,6.3,.787,3.3,9.1,12.4,9.5,1.2,0.8,2.7,2.6,27.0,5,.630,1.398963730569948,99.66
88,2024,Luka Dončić,PG,24,DAL,81,81,36.8,11.3,23.0,.488,3.8,10.1,.379,7.4,12.9,.574,.571,6.3,7.9,.800,0.7,7.6,8.3,9.1,1.3,0.5,4.0,1.8,32.7,4,.640,1.4217391304347828,99.54
119,2024,Shai Gilgeous-Alexander,PG,25,OKC,81,81,35.0,11.2,20.7,.542,1.0,3.2,.324,10.2,17.5,.582,.567,7.3,8.0,.913,0.9,4.6,5.5,6.4,2.7,0.8,2.0,2.4,30.7,1,.667,1.4830917874396135,99.24
94,2024,Kevin Durant,PF,35,PHO,78,78,36.7,10.5,20.3,.518,2.3,4.9,.480,8.2,15.5,.529,.575,7.3,8.3,.880,0.3,6.0,6.3,5.6,0.7,1.2,3.4,2.0,30.7,10,.520,1.5123152709359604,99.17
175,2024,LeBron James,PF,39,LAL,80,80,33.8,9.4,17.2,.545,2.3,5.7,.401,7.1,11.5,.616,.611,4.2,5.8,.714,1.0,6.5,7.5,7.0,1.5,0.7,3.4,1.1,25.2,19,.577,1.4651162790697674,99.0
136,2024,Tyrese Haliburton,PG,23,IND,79,79,33.9,9.0,17.5,.515,3.7,8.4,.435,5.3,9.0,.589,.620,4.0,4.6,.876,0.7,3.4,4.1,12.0,0.9,0.7,2.6,1.1,25.7,1,.542,1.4685714285714286,97.76
37,2024,Devin Booker,SG,27,PHO,73,73,35.3,9.3,19.1,.484,2.0,4.9,.410,7.3,14.3,.509,.536,7.6,8.3,.917,1.0,4.9,5.9,8.3,0.7,0.4,3.1,3.4,28.1,2,.520,1.4712041884816753,96.94
80,2024,Anthony Davis,C,30,LAL,80,80,35.3,9.0,16.5,.544,0.3,0.8,.333,8.7,15.7,.554,.552,5.8,7.0,.817,3.6,8.9,12.5,3.0,1.1,2.6,2.0,2.7,23.9,6,.577,1.4484848484848485,96.75
109,2024,De'Aaron Fox,PG,26,SAC,76,76,35.5,10.6,22.2,.475,3.2,8.3,.387,7.3,13.9,.528,.548,5.8,7.9,.732,0.9,3.5,4.4,6.4,1.4,0.3,2.6,2.8,30.1,1,.625,1.355855855855856,95.84
